word,vens-a,vens-b
phosphoric,phồsphoríc,phồ̱sphoríc
phosphorite,phồsphorīte,phồ̱sphorī̳tḛ
phosphorites,phồsphorītes,phồ̱sphorī̳tḛs
phosphorous,phồsphorous,phồ̱sphorous
phosphors,phồsphổrs,phồ̱sphổ̳rs
phosphorus,phồsphorụs,phồ̱sphorụs
photo,phōtō,phō̱tō̳
photo's,phōtō's,phō̱tō̳'s
photocall,phōtōcầll,phō̱tō̳cầll
photochemical,phōtōchẽmícạl,phō̳tōch̰ẽ̱mícạl
photoconductive,phōtōcọndùctíve,phō̳tōcọndù̱ctívḛ
photocopied,phōtōcồpïed,phō̱tōcồ̳pïḛd
photocopier,phōtōcồpïer,phō̱tōcồ̳pïer
photocopiers,phōtōcồpïers,phō̱tōcồ̳pïers
photocopies,phōtōcồpïes,phō̱tōcồ̳pïḛs
photocopy,phōtōcồpÿ,phō̱tōcồ̳pÿ
photocopying,phōtōcồpÿíng,phō̱tōcồ̳pÿíng
photodynamic,phōtōdȳnẫmíc,phō̳tōdȳnẫ̱míc
photoelectric,phōtōélẽctríc,phō̳tōélẽ̱ctríc
photofinisher,phōtōfínísher,phō̳tōfí̱ní̳sher
photofinishers,phōtōfíníshers,phō̳tōfí̱ní̳shers
photofinishing,phōtōfíníshíng,phō̱tōfí̱níshíng
photogenic,phōtọgẽníc,phō̳tọgẽ̱níc
photograph,phōtọgrẫph,phō̱tọgrẫ̳ph
photographed,phōtọgrẫphed,phō̱tọgrẫ̳phed
photographer,phọtồgrạpher,phọtồ̱grạpher
photographer's,phọtồgrạpher's,phọtồ̱grạpher's
photographers,phọtồgrạphers,phọtồ̱grạphers
photographic,phōtọgrẫphíc,phō̳tọgrẫ̱phíc
photographing,phōtọgrẫphíng,phō̱tọgrẫ̳phíng
photographs,phōtọgrẫphs,phō̱tọgrẫ̳phs
photography,phọtồgrạphÿ,phọtồ̱grạphÿ
photojournalist,phōtōjournạlịst,phō̳tōjo̰u̱rnạlịst
photometer,phọtồméter,phọtồ̱méter
photon,phōtồn,phō̱tồ̳n
photons,phōtồns,phō̱tồ̳ns
photoop,phōtōổp,phō̱tōổ̱p
photophoresis,phōtōphorếsís,phō̳tōphorế̱sís
photorefractive,phōtōréfrẫctíve,phō̳tōréfrẫ̱ctívḛ
photos,phōtōs,phō̱tō̳s
photoshop,phōtōshồp,phō̱tō̳shồ̳p
photoshopped,phōtōshồpped,phō̳tōshồ̱pped
photoshopping,phōtōshồppíng,phō̱tō̳shồ̳ppíng
photoshops,phōtōshồps,phō̱tō̳shồ̳ps
photosynthesis,phōtōsýnthẹsís,phō̳tōsý̱nthẹsís
phototaxis,phōtọtẫxís,phō̳tọtẫ̱xís
phototron,phōtọtrồn,phō̱tọtrồn
photovoltaic,phōtọvōltāíc,phō̳tọvō̳ltā̱íc
photovoltaics,phōtōvōltāícs,phō̱tōvōltā̱ícs
photronic,phōtrồníc,phō̳trồ̱níc
photronics,phōtrồnícs,phō̳trồ̱nícs
php,php,p̱ẖp̱
phrase,phrāse,phrā̱sḛ
phrased,phrāsed,phrā̱sḛd
phraseology,phrāsếổlổgÿ,phrā̳sếổ̱lổgÿ
phrases,phrāsés,phrā̱sés
phrasing,phrāsíng,phrā̱síng
phrygian,phrýgïạn,phrý̱gïạn
phu,phü,phü̱
phua,phuạ,phu̱ạ
phung,phùng,phù̱ng
phuong,phüổng,phüổ̱ng
phut,phùt,phù̱t
phy,phȳ,phȳ̱
phyla,phȳlạ,phȳ̱lạ
phyle,phȳle,phȳ̱lḛ
phylis,phȳlịs,phȳ̱lịs
phyllis,phýllís,phý̱llís
phyllys,phýllÿs,phý̱llÿs
phylogeny,phȳlồgẹnÿ,phȳlồ̱gẹnÿ
phylum,phȳlụm,phȳ̱lụm
physical,phýsícạl,phý̱sícạl
physically,phýsícallÿ,phý̱síca̰llÿ
physicals,phýsícạls,phý̱sícạls
physician,phỵsíciạn,phỵsí̱ciạn
physician's,phỵsíciạn's,phỵsí̱ciạn's
physicians,phýsíciạns,phýsí̱ciạns
physicians',phýsíciạns',phýsí̱ciạns'̰
physicist,phýsícíst,phý̱sícíst
physicists,phýsícísts,phý̱sícísts
physics,phýsícs,phý̱sícs
physics',phýsícs',phý̱sícs'̰
physio,phýsïō,phý̱sïō
physiologic,phýsïọlồgíc,phý̳sïọlồ̱gíc
physiological,phýsïọlồgícạl,phý̳sïọlồ̱gícạl
physiologically,phýsïọlồgícallÿ,phý̳sïọlồ̱gíca̰llÿ
physiologist,phýsïồlọgíst,phý̳sïồ̱lọgíst
physiology,phýsïồlọgÿ,phý̳sïồ̱lọgÿ
physique,phỵsïque,phỵsï̱quḛ
phytogeography,phȳtōgếồgrạphÿ,phȳtōgếồ̱grạphÿ
phytoplankton,phȳtōplẫnktọn,phȳ̳tōplẫ̱nktọn
pi,pī,pī̱
pi-meson,pī-mēsồn,pī̱-̰mē̱sồ̳n
pia,pïạ,pï̱ạ
piacente,pïầcẽntế,pïầcẽ̱ntế
piacentini,pïầcẽntïnï,pïầcẽntï̱nï
piaget,pïạget,pï̳ạgḛṯ
piaget's,pïạget's,pï̳ạgḛṯ's
piana,pïẫnạ,pïẫ̱nạ
pianist,pïạníst,pï̱ạníst
pianist's,pïạníst's,pï̱ạníst'̰s
pianists,pïạnísts,pï̱ạníst̰s̰
pianka,pïầnkạ,pïầ̱nkạ
piano,pïẫnọ,pïẫ̱nọ
piano's,pïẫnọ's,pïẫ̱nọ's
pianos,pïẫnọs,pïẫ̱nọs
piascik,pïạscík,pï̱ạscík
piasecki,pïạsẽckï,pïạsẽ̱ckï
piasio,pïẫsïō,pïẫ̱sïō
piatek,pïầtẽk,pïầ̱tẽk
piatkowski,pïạtkổwskï,pïạtkổ̱wskï
piatt,pīạtt,pī̱ạtt
piazza,pïẫzzạ,pïẫ̱zzạ
piazzolla,pïạzzồllạ,pï̳ạzzồ̱llạ
pic,píc,pí̱c
pic-a-pasta,píc-ạ-pầstạ,pí̱c-̰ạ-̰pầ̱stạ
pica,pīcạ,pī̱cạ
picabo,pịcầbō,pịcầ̱bō
picante,pïcầntē,pïcầ̱ntē
picard,pícầrd,pícầ̱rd
picaresque,pícạrẽsque,pí̳cạrẽ̱squḛ
picariello,pïcầrïẽllō,pïcầrïẽ̱llō
picaro,pïcầrō,pï̱cầrō̳
picas,pīcạs,pī̱cạs
picasso,pícầssō,pícầ̱ssō
picasso's,pícầssō's,pícầ̱ssō's
picassos,pícầssōs,pícầ̱ssōs
picayune,pícấyüne,pí̳cấyü̱nḛ
picazo,pïcầzō,pïcầ̱zō
piccadilly,píccạdíllÿ,pí̱ccạdí̳llÿ
picchi,pícchï,pí̱cch̰ï
picchu,pïcchü,pï̱cch̰ü
picciano,pïccïầnō,pï̳ccïầ̱nō
piccinini,pïccïnïnï,pïccïnï̱nï
piccione,pïcciōnế,pïcciō̱nế
piccirilli,pïccírïllï,pïccírï̱llï
piccirillo,pïccíríllō,pïccírí̱llō
picco,píccō,pí̱ccō
piccola,pïccōlạ,pïccō̱lạ
piccoli,pïccōlï,pïccō̱lï
piccolo,píccọlō,pí̱ccọlō̳
piccone,pïccōnế,pïccō̱nế
picha,píchạ,pí̱chạ
pichardo,píchầrdō,píchầ̱rdō
piche,píche,pí̱chḛ
picheny,pịchẽnÿ,pịchẽ̱nÿ̳
picher,pícher,pí̱cher
pichette,pịchẽtte,pịchẽ̱ttḛ
pichler,píchler,pí̱ch̰ler
pichon,píchọn,pí̱chọn
picht,pícht,pí̱ch̰t
picinich,pícíních,pí̱cíních
pick,píck,pí̱ck
pick-up,píck-ùp,pí̱ck-̰ù̳p
pick-ups,píck-ùps,pí̱ck-̰ù̳ps
pickands,píckạnds,pí̱ckạnds
pickar,píckầr,píckầ̱r
pickard,píckầrd,píckầ̱rd
pickart,píckầrt,pí̱ckầ̳rt
picked,pícked,pí̱cked
pickel,píckẹl,pí̱ckẹl
pickell,píckẹll,pí̱ckẹll
pickelsimer,píckélsímer,pí̱ckélsímer
picken,píckẹn,pí̱ckẹn
pickens,píckẹns,pí̱ckẹns
pickens',píckẹns',pí̱ckẹns'̰
pickens's,píckẹns's,pí̱ckẹns's
picker,pícker,pí̱cker
pickeral,píckerạl,pí̱ckerạl
pickerel,píckerẹl,pí̱ckerẹl
pickerell,píckerẹll,pí̱ckerẹll
pickerill,píckeríll,pí̱ckerí̳ll
pickering,píckeríng,pí̱ckeríng
pickers,píckers,pí̱ckers
pickert,píckert,pí̱ckert
picket,píckét,pí̱ckét
picketed,píckẹtéd,pí̱ckẹtéd
picketer,píckẹter,pí̱ckẹter
picketers,píckẹters,pí̱ckẹters
picketing,píckẹtíng,pí̱ckẹtíng
pickets,píckẹts,pí̱ckẹts
pickett,píckétt,pí̱ckétt
pickett's,píckétt's,pí̱ckétt'̰s
pickford,píckford,pí̱ckford
pickier,píckïer,pí̱ckïer
picking,píckíng,pí̱ckíng
pickings,píckíngs,pí̱ckíngs
pickins,píckíns,pí̱ckíns
pickle,píckle,pí̱cklḛ
pickled,píckled,pí̱cklḛd
pickler,píckler,pí̱ckler
pickles,píckles,pí̱cklḛs
picklesimer,pícklesímer,pí̱cklḛsímer
pickling,pícklíng,pí̱cklíng
pickney,píckneÿ,pí̱cknḛÿ
pickpocket,píckpồckẹt,pí̱ckpồ̳ckẹt
pickpockets,píckpồckẹts,pí̱ckpồ̳ckẹts
pickrel,píckrẹl,pí̱ckrẹl
pickrell,píckrẹll,pí̱ckrẹll
pickren,píckrẹn,pí̱ckrẹn
pickron,píckrọn,pí̱ckrọn
picks,pícks,pí̱cks
pickup,píckùp,pí̱ckù̳p
pickups,píckùps,pí̱ckù̳ps
pickus,píckụs,pí̱ckụs
pickwick,píckwíck,pí̱ckwí̳ck
pickworth,píckworth,pí̱ckwo̳rth
picky,píckÿ,pí̱ckÿ
picnic,pícníc,pí̱cní̳c
picnics,pícnícs,pí̱cní̳cs
pico,pïcō,pï̱cō
picon,pícọn,pí̱cọn
picone,pícōne,pícō̱nḛ
picop,pícồp,pí̱cồ̳p
picotte,pícổtte,pícổ̱ttḛ
picou,pïcou,pï̱cou
picoult,pícōult,pícō̱ṵlt
picower,pícower,pí̱co̳wḛr
pictet,píctét,pí̱ctét
picton,píctọn,pí̱ctọn
pictorial,píctổrïạl,píctổ̱rïạl
picts,pícts,pí̱cts
picture,pícture,pí̱cturḛ
picture's,pícture's,pí̱cturḛ's
pictured,píctured,pí̱cturḛd
pictures,píctures,pí̱cturḛs
pictures',píctures',pí̱cturḛs'̰
picturesque,pícturẹsque,pí̱cturẹsquḛ
picturetel,pícturetẽl,pí̱ctu̳rḛtẽ̳l
picturing,pícturíng,pí̱cturíng
pidcock,pídcọck,pí̱dcọck
piddle,píddle,pí̱ddlḛ
piddles,píddles,pí̱ddlḛs
piddling,píddlíng,pí̱dd̰líng
piddock,píddọck,pí̱dd̰ọck
pidgeon,pídgeọn,pí̱dgḛọn
pie,pīe,pī̱ḛ
piebald,pīebẩld,pī̱ḛbẩ̳ld
piece,pïece,pï̱ḛcḛ
pieced,pïeced,pï̱ḛced
piecemeal,pïecemếal,pï̱ḛcḛmế̳a̰l
pieces,pïecés,pï̱ḛcés
piecework,pïecework,pï̱ḛcḛwo̳rk
piech,pïech,pï̱ḛch
piech's,pïech's,pï̱ḛch's
piechocki,pïechōckï,pïḛchō̱ckï
piechota,pïechōtạ,pïḛchō̱tạ
piechowski,pïechổwskï,pïḛchổ̱wskï
piecing,pïecíng,pï̱ḛcíng
piecuch,pïecụch,pï̱ḛcụch̰
pieczynski,pïeczýnskï,pïḛczý̱nskï
pied,pīed,pī̱ḛd
piedboeuf,pïedboeùf,pï̱ḛdbo̰ḛù̳f
piedmont,pïedmồnt,pï̱ḛdmồ̳nt
piedmont's,pïedmồnt's,pï̱ḛdmồ̳nt'̰s
piedra,pïedrạ,pï̱ḛdrạ
piehl,pïehl,pï̱ḛh̰l
piekarski,pïekầrskï,pïḛkầ̱rskï
piel,pïel,pï̱ḛl
piela,pïelạ,pï̱ḛlạ
pienta,pïentạ,pï̱ḛntạ
pieper,pïeper,pï̱ḛper
piepgras,pïepgrẫs,pï̱ḛpgrẫ̳s
piepho,pïephō,pï̱ḛphō
pier,píer,pí̱ḛr
pieraccini,pïẽrạccïnï,pïẽ̳rạccï̱nï
pieratt,pïerạtt,pï̱ḛrạtt
pierce,píerce,pí̱ḛrcḛ
pierce's,píercé's,pí̱ḛrcé's
pierceall,píerceall,píḛrce̱all
pierced,píerced,pí̱ḛrced
piercey,píerceÿ,píḛrcḛÿ̱
piercing,píercíng,pí̱ḛrcíng
piercy,píercÿ,pí̱ḛrcÿ
pierette,píerẽtte,píḛrẽ̱ttḛ
pieri,pïerï,pï̱ḛrï
pierie,pïẽrïe,pïẽ̱rïḛ
pierie's,pïẽrïe's,pïẽ̱rïḛ's
pierini,píerïnï,píḛrï̱nï
pierman,píermạn,pí̱ḛrmạn
piero,pïerō,pï̱ḛrō
pieroni,píerōnï,píḛrō̱nï
pierotti,píerōttï,píḛrō̱ttï
pierpoint,píerpoint,píḛrpo̱int
pierpont,píerpồnt,pí̱ḛrpồ̳nt
pierre,pïẽrre,pïẽ̱rr̰ḛ
pierre's,pïẽrre's,pïẽ̱rr̰ḛ's
pierrelouis,pïẽrreloüïs,pïẽ̱rr̰ḛlo̰üïs
pierrepont,pïẽrrepōnt,pïẽ̱rr̰ḛpōnt
pierro,píerrō,pí̱ḛrr̰ō
pierron,píerrổn,píḛrr̰ổ̱n
piers,píers,pí̱ḛrs
piersall,píersạll,pí̱ḛrsạll
piersol,píersổl,pí̱ḛrsổl
pierson,píersọn,pí̱ḛrsọn
pies,pīes,pī̱ḛs
pies's,pīes's,pī̱ḛs's
piet,pïet,pï̱ḛt
pieter,pïeter,pï̱ḛter
pietermaritzburg,pïetermãrítzburg,pï̳ḛtermã̱rítzburg
pieters,pïeters,pï̱ḛters
pieties,pīẹtïes,pī̱ẹtïḛs
pietila,pïetïlạ,pïḛtï̱lạ
pietism,pïetísm,pï̱ḛtísm
pietrangelo,pïetrầngẽlō,pïḛtrầngẽ̱lō
pietras,pïetrạs,pï̱ḛtrạs
pietro,pïẽtrō,pïẽ̱trō
pietrowski,pïetrổwskï,pïḛtrổ̱wskï
pietruski,pïẽtrùskï,pï̳ẽtrù̱skï
pietruszka,pïetrùszkạ,pïḛtrù̱szkạ
pietrzak,pïetrzẫk,pï̱ḛtrzẫk
pietrzyk,pïetrzýk,pï̱ḛtrzýk
pietsch,pïetsch,pï̱ḛt̰s̰ch
piette,pïette,pï̱ḛttḛ
piety,pīẹtÿ,pī̱ẹtÿ
pietz,pïetz,pï̱ḛtz
piezoelectric,pīẹzōẹlẽctríc,pī̳ẹzō̳ẹlẽ̱ctríc
pifer,pīfer,pī̱fer
pig,píg,pí̱g
pig's,píg's,pí̱g's
pigan,pígạn,pí̱gạn
pigeon,pígeọn,pí̱gḛọn
pigeon's,pígeọn's,pí̱gḛọn's
pigeonhole,pígeọnhōle,pí̱gḛọnhō̳lḛ
pigeonholed,pígeọnhōled,pí̱gḛọnhō̳lḛd
pigeons,pígeọns,pí̱gḛọns
pigford,pígford,pí̱gford
pigg,pígg,pí̱gg
piggee,píggếe,pí̱ggế̱ḛ
piggly,pígglÿ,pí̱gglÿ
piggott,píggọtt,pí̱ggọtt
piggy,píggÿ,pí̱ggÿ
piggyback,píggÿbẫck,pí̱ggÿbẫ̳ck
piggybacked,píggÿbẫcked,pí̱ggÿbẫ̳cked
piggybacking,píggÿbẫckíng,pí̱ggÿbẫ̳ckíng
piglet,píglét,pí̱glét
piglets,pígléts,pí̱gléts
pigman,pígmạn,pí̱gmạn
pigment,pígmẹnt,pí̱gmẹnt
pigmentation,pígmẹntātiọn,pí̳gmẹntā̱tiọn
pigmented,pígmentéd,pí̳gmḛṉtéd
pigments,pígmẹnts,pí̱gmẹnts
pigmied,pígmïed,pí̱gmïḛd
pigmy,pígmÿ,pí̱gmÿ
pignataro,pïgnầtầrō,pïgnầtầ̱rō
pignatelli,pïgnầtẽllï,pïgnầtẽ̱llï
pignato,pïgnầtō,pïgnầ̱tō
pignone,pïgnōnế,pïgnō̱nế
pigott,pígọtt,pí̱gọtt
pigs,pígs,pí̱gs
pigskin,pígskín,pí̱gskí̳n
pigskins,pígskíns,pí̱gskí̳ns
pigsty,pígstȳ,pí̱gstȳ̳
pigue,pïgue,pï̱guḛ
pih,pīh,p̱ī̱ẖ
pihl,píhl,pí̱h̰l
pik,pík,pí̱k
pike,pīke,pī̱kḛ
piker,pīker,pī̱ker
pikers,pīkers,pī̱kers
pikes,pīkes,pī̱kḛs
pikul,píkụl,pí̱kụl
pikula,píkülạ,píkü̱lạ
pikus,pīkụs,pī̱kụs
pil,píl,pí̱l
pilaf,pïlầf,pï̳lầ̱f
piland,pílạnd,pí̱lạnd
pilant,pïlạnt,pï̱lạnt
pilar,pīlar,pī̱lar
pilarski,pílầrskï,pílầ̱rskï
pilaster,pịlẫster,pịlẫ̱ster
pilasters,pịlẫsters,pịlẫ̱sters
pilat,pïlầt,pï̱lầt
pilate,pīlàte,pī̱là̳tḛ
pilate's,pīlàte's,pī̱là̳tḛ'̰s
pilates,pílầtếs,pílầ̱tế̳s
pilato,pïlầtō,pïlầ̱tō
pilatus,pïlātụs,pïlā̱tụs
pilch,pílch,pí̱lch
pilcher,pílcher,pí̱lcher
pile,pīle,pī̱lḛ
pilecki,pílẽckï,pílẽ̱ckï
piled,pīled,pī̱lḛd
pileggi,pílẽggï,pílẽ̱gg̰ï
piles,pīles,pī̱lḛs
pileup,pīleùp,pī̱lḛù̳p
pilevsky,pílẽvskÿ,pílẽ̱vskÿ
pilfer,pílfer,pí̱lfer
pilferage,pílferáge,pí̱lferágḛ
pilfered,pílfered,pí̱lferḛd
pilfering,pílferíng,pí̱lferíng
pilfers,pílfers,pí̱lfers
pilger,pílger,pí̱lger
pilgram,pílgrạm,pí̱lgrạm
pilgreen,pílgreến,pílgrḛế̱n
pilgrim,pílgrím,pí̱lgrím
pilgrim's,pílgrịm's,pí̱lgrịm's
pilgrimage,pílgrịmáge,pí̱lgrịmágḛ
pilgrimages,pílgrịmágés,pí̱lgrịmágés
pilgrims,pílgrịms,pí̱lgrịms
piling,pīlíng,pī̱líng
pilings,pīlíngs,pī̱língs
pilkenton,pílkẽntọn,pílkẽ̱ntọn
pilkerton,pílkertọn,pílke̱rtọn
pilkington,pílkíngtọn,pí̱lkíngtọn
pilkinton,pílkíntọn,pí̱lkíntọn
pill,píll,pí̱ll
pill's,píll's,pí̱ll's
pilla,píllạ,pí̱llạ
pillage,pílláge,pí̱llágḛ
pillaged,pílláged,pí̱llágḛd
pillager,pílláger,pí̱lláger
pillager's,pílláger's,pí̱lláger's
pillagers,píllágers,pí̱llágers
pillages,píllágés,pí̱llágés
pillaging,píllágíng,pí̱llágíng
pillar,píllar,pí̱llar
pillard,píllard,pí̱llard
pillared,píllared,pí̱llarḛd
pillars,píllars,pí̱llars
pille,pílle,pí̱llḛ
piller,píller,pí̱ller
pilley,pílleÿ,pí̱llḛÿ
pilling,píllíng,pí̱llíng
pillion,píllïọn,pí̱llïọn
pilloried,píllorïed,pí̱llorïḛd
pillory,píllorÿ,pí̱llorÿ
pillow,píllow,pí̱llow
pillows,píllows,pí̱llows
pillowtex,píllowtẽx,pí̱llowtẽ̳x
pills,pílls,pí̱lls
pillsbury,píllsbũrÿ,pí̱llsbũ̳rÿ
pillsbury's,píllsbũrÿ's,pí̱llsbũ̳rÿ's
pilnak,pílnẫk,pí̱lnẫk
pilon,pïlổn,pïlổ̱n
pilot,pīlọt,pī̱lọt
pilot's,pīlọt's,pī̱lọt'̰s
piloted,pīlọtéd,pī̱lọtéd
piloting,pīlọtíng,pī̱lọtíng
pilotless,pīlọtlẹss,pī̱lọtlẹss
pilots,pīlọts,pī̱lọts
pilots',pīlọts',pī̱lọts'̰
pilotte,pílổtte,pílổ̱ttḛ
pilsner,pílsner,pí̱lsner
pilson,pílsọn,pí̱lsọn
piltdown,píltdown,pí̱ltdo̳wn
piltz,píltz,pí̱ltz
pilz,pílz,pí̱lz
pima,pïmạ,pï̱mạ
pimco,pímcō,pí̱mcō
pimental,pímẽntạl,pímẽ̱ntạl
pimentel,píméntẹl,pí̱méntẹl
pimm,pímm,pí̱mm
pimm's,pímm's,pí̱mm's
pimp,pímp,pí̱mp
pimping,pímpíng,pí̱mpíng
pimplapure,pímplạpure,pí̳mplạpu̱rḛ
pimple,pímple,pí̱mplḛ
pimples,pímples,pí̱mplḛs
pimps,pímps,pí̱mps
pin,pín,pí̱n
pina,pïnạ,pï̱nạ
pinard,pínard,pí̱nard
pinatubo,pínạtübō,pínạtü̱bō
pinault,pínault,pí̳na̱ult
pinball,pínbẩll,pí̱nbẩ̳ll
pincavage,píncạváge,pí̱ncạvágḛ
pincerlike,píncerlīke,pí̱ncerlī̳kḛ
pincers,píncers,pí̱ncers
pinch,pínch,pí̱nch
pinched,pínched,pí̱nched
pincher,píncher,pí̱ncher
pinchers,pínchers,pí̱nchers
pinching,pínchíng,pí̱nchíng
pinckard,pínckard,pí̱nckard
pinckney,pínckneÿ,pí̱ncknḛÿ
pincus,píncụs,pí̱ncụs
pindaric,píndẫríc,píndẫ̱ríc
pindell,píndẹll,pí̱ndẹll
pinder,pīnder,pī̱nder
pindling,píndlíng,pí̱ndlíng
pine,pīne,pī̱nḛ
pineal,pīnếạl,pī̳nế̱ạl
pineapple,pīneẫpple,pī̱nḛẫ̳pplḛ
pineapples,pīneẫpples,pī̱nḛẫ̳pplḛs
pineau,píneau,pínḛa̱u
pined,pīned,pī̱nḛd
pineda,pïnẽdạ,pïnẽ̱dạ
pinedo,pïnēdō,pïnē̱dō
pinegar,pínégar,pí̱négar
pineiro,pïnẽirō,pïnẽ̱ḭrō
pinellas,pínẽllạs,pínẽ̱llạs
pinelli,pínẽllï,pínẽ̱llï
pineo,pínếō,pí̱nếō
piner,pīner,pī̱ner
pinero,pínẽrō,pínẽ̱rō
pines,pīnes,pī̱nḛs
pinetta,pịnẽttạ,pịnẽ̱ttạ
pinetta's,pịnẽttạ's,pịnẽ̱ttạ's
pinette,pínẽtte,pínẽ̱ttḛ
ping,píng,pí̱ng
ping-pong,píng-pổng,pí̱ng-̰pổ̳ng
pinged,pínged,pí̱ngḛd
pingel,píngẹl,pí̱ngẹl
pinging,píngíng,pí̱ngíng
pingitore,píngïtổrế,píngïtổ̱rế̳
pingleton,píngletồn,pí̱nglḛtồn
pingley,píngleÿ,pí̱nglḛÿ
pingpong,píngpổng,pí̱ngpổ̳ng
pingree,píngreế,píngrḛế̱
pings,píngs,pí̱ngs
pinheiro,pïnhẽirō,pïnhẽ̱ḭrō
pinho,pínhō,pí̱nhō
pinhole,pínhōle,pí̱nhō̳lḛ
pinholes,pínhōles,pí̱nhō̳lḛs
pini,pïnï,pï̱nï
pining,pīníng,pī̱níng
pinion,pínïọn,pí̱nïọn
pink,pínk,pí̱nk
pinkard,pínkard,pí̱nkard
pinkelman,pínkẹlmạn,pí̱nkẹlmạn
pinker,pínker,pí̱nker
pinkerman,pínkermạn,pí̱nkermạn
pinkerton,pínkertọn,pí̱nkertọn
pinkerton's,pínkertọn's,pí̱nkertọn's
pinkest,pínkést,pí̱nkést
pinkett,pínkétt,pí̱nkétt
pinkham,pínkhạm,pí̱nkhạm
pinkie,pínkïe,pí̱nkïḛ
pinkish,pínkísh,pí̱nkísh
pinkley,pínkleÿ,pí̱nklḛÿ
pinkney,pínkneÿ,pí̱nknḛÿ
pinkos,pínkōs,pí̱nkōs
pinkowski,pínkổwskï,pínkổ̱wskï
pinks,pínks,pí̱nks
pinkstaff,pínkstẫff,pí̱nkstẫ̳ff
pinkston,pínkstọn,pí̱nkstọn
pinkus,pínkụs,pí̱nkụs
pinkwater,pínkwẩter,pí̱nkwẩ̳ter
pinkwater's,pínkwẩter's,pí̱nkwẩ̳ter's
pinky,pínkÿ,pí̱nkÿ
pinn,pínn,pí̱nn
pinnacle,pínnạcle,pí̱nnạclḛ
pinnacle's,pínnácle's,pí̱nnáclḛ's
pinned,pínned,pí̱nnḛd
pinnell,pínnẹll,pí̱nnẹll
pinneo,pínnếō,pí̱nnếō
pinner,pínner,pí̱nner
pinney,pínneÿ,pí̱nnḛÿ
pinnick,pínníck,pí̱nníck
pinning,pínníng,pí̱nníng
pinnix,pínníx,pí̱nníx
pinnochio,pínnōchïō,pínnō̱ch̰ï̳ō̳
pinnochio's,pínnōchïō's,pínnō̱ch̰ï̳ō̳'s
pinnock,pínnọck,pí̱nnọck
pinnow,pínnow,pí̱nnow
pino,pïnō,pï̱nō
pino's,pïnō's,pï̱nō's
pinocchio,pínōcchïō,pínō̱cch̰ïō
pinochet,pïnōchet,pï̳nōchḛṯ
pinochet's,pïnōchet's,pï̳nōchḛṯ's
pinola,pínōlạ,pínō̱lạ
pinot,pínọt,pí̱nọt
pinpoint,pínpoint,pí̱npo̳int
pinpointed,pínpointéd,pí̱npo̳intéd
pinpointing,pínpointíng,pí̱npo̳intíng
pinpoints,pínpoints,pí̱npo̳ints
pinprick,pínpríck,pí̱npríck
pinquater,pínqüầter,pí̱nqüầ̳ter
pins,píns,pí̱ns
pinshan,pínshạn,pí̱nshạn
pinsker,pínsker,pí̱nsker
pinsky,pínskÿ,pí̱nskÿ
pinson,pínsọn,pí̱nsọn
pinsoneault,pínsọneault,pí̳nsọnḛa̱ul̰t̰
pinstripe,pínstrīpe,pí̱nstrī̳pḛ
pinstriped,pínstrīped,pí̱nstrī̳ped
pinstripes,pínstrīpes,pí̱nstrī̳pḛs
pint,pīnt,pī̱nt
pint-size,pīnt-sīze,pī̱nt-̰sī̱zḛ
pint-sized,pīnt-sīzed,pī̱nt-̰sī̱zḛd
pinta,píntạ,pí̱ntạ
pintar,pïntầr,pïntầ̱r
pinter,pīnter,pī̱nter
pinterest,pínterẹst,pí̱ntḛrẹst
pinto,píntō,pí̱ntō̳
pints,pīnts,pī̱nts
piny,pīnÿ,pī̱nÿ
pinyan,pínyạn,pí̱nyạn
pinzon,pínzổn,pí̳nzổ̱n
pio,pīō,pī̱ō
pion,pīồn,pī̱ồ̳n
pioneer,pīọnéer,pī̳ọné̱ḛr
pioneer's,pīọnéer's,pī̳ọné̱ḛr's
pioneered,pīọnéered,pī̳ọné̱ḛrḛd
pioneering,pīọnéeríng,pī̳ọné̱ḛríng
pioneers,pīọnéers,pī̳ọné̱ḛrs
piontek,pïōntẽk,pïō̱ntẽk
piontkowski,pïōntkổwskï,pïōntkổ̱wskï
piorkowski,pïổrkổwskï,pïổrkổ̱wskï
piotrowski,pïōtrổwskï,pïōtrổ̱wskï
piotter,pïồtter,pïồ̱tter
pious,pīous,pī̱ous
piously,pīouslÿ,pī̱ouslÿ
pip,píp,pí̱p
pipe,pīpe,pī̱pḛ
piped,pīped,pī̱ped
pipefish,pīpefísh,pī̱pḛfí̳sh
pipefishes,pīpefíshés,pī̱pḛfí̳shés
pipeline,pīpelīne,pī̱pḛlī̳nḛ
pipeline's,pīpelīne's,pī̱pḛlī̳nḛ's
pipelines,pīpelīnes,pī̱pḛlī̳nḛs
pipelines',pīpelīnes',pī̱pḛlī̳nḛs'̰
piper,pīper,pī̱per
pipers,pīpers,pī̱pers
pipes,pīpes,pī̱pḛs
pipetec,pīpetẽc,pī̱pḛtẽ̳c
pipette,pīpẽtte,pī̳pẽ̱ttḛ
pipetter,pīpẽtter,pī̳pẽ̱tter
pipetters,pīpẽtters,pī̳pẽ̱tters
pipettes,pīpẽttes,pī̳pẽ̱ttḛs
pipher,pípher,pí̱pher
piping,pīpíng,pī̱píng
pipitone,pípítōne,pí̱pítō̳nḛ
pipkin,pípkín,pí̱pkín
